Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-73980,RNA Polymerase III Transcription Termination,6,23,0.001509186,0.481124156,0.834748389,2,2,1.41E-04,9606,Homo sapiens,NFIX;CRCP;NFIA;NFIB;POLR3G,,R-HSA-113449;R-HSA-113454
R-HSA-5625900,RHO GTPases activate CIT,6,23,0.001509186,0.481124156,0.834748389,5,6,4.24E-04,9606,Homo sapiens,MYH14;MYH9;RHOC;PPP1R12B;MYH10;MYL9,,R-HSA-5671970;R-HSA-5625901;R-HSA-5671919;R-HSA-8981443;R-HSA-5671993
R-HSA-1606322,ZBP1(DAI) mediated induction of type I IFNs,6,23,0.001509186,0.481124156,0.834748389,6,11,7.77E-04,9606,Homo sapiens,NFKBIA;IRF3;NKIRAS1;NKIRAS2;DTX4;TSKU,,R-HSA-1606345;R-HSA-2032396;R-HSA-2395992;R-HSA-168910;R-HSA-168140;R-HSA-1606327
R-HSA-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,23,93,0.006102362,0.483927601,0.834748389,19,26,0.001837326,9606,Homo sapiens,PSMD12;RPN2;PSMD14;PRKCD;HSPB1;PRKCA;YWHAZ;PSMB8;ZFP36L1;MAPK11;PSMB7;PSMC5;GPRC5A;PSMA1;MAPKAPK2;UBC;PSMD3;ENPP2;AKT1;EMB;PRKACA;EXOSC1,,R-HSA-450406;R-HSA-450533;R-HSA-482788;R-HSA-450466;R-HSA-450499;R-HSA-450595;R-HSA-450474;R-HSA-450550;R-HSA-450422;R-HSA-450551;R-HSA-450580;R-HSA-450517;R-HSA-450387;R-HSA-451152;R-HSA-450463;R-HSA-450431;R-HSA-450620;R-HSA-450490;R-HSA-450488
R-HSA-399954,Sema3A PAK dependent Axon repulsion,5,19,0.001246719,0.485271702,0.834748389,6,6,4.24E-04,9606,Homo sapiens,SEMA3A;LIMK1;PLXNA2;FYN;STK4,,R-HSA-399939;R-HSA-399952;R-HSA-399950;R-HSA-419644;R-HSA-419645;R-HSA-399930
R-HSA-110312,Translesion synthesis by REV1,5,19,0.001246719,0.485271702,0.834748389,5,5,3.53E-04,9606,Homo sapiens,RFC2;UBC;REV3L;RPA1,,R-HSA-5652151;R-HSA-110307;R-HSA-110322;R-HSA-110308;R-HSA-110311
R-HSA-3270619,IRF3-mediated induction of type I IFN,5,19,0.001246719,0.485271702,0.834748389,5,5,3.53E-04,9606,Homo sapiens,TMEM169;STING1;IRF3;IFI16;XRCC5;DTX4,,R-HSA-1834939;R-HSA-2396007;R-HSA-2032396;R-HSA-2396002;R-HSA-2395992
R-HSA-5654228,Phospholipase C-mediated cascade; FGFR4,5,19,0.001246719,0.485271702,0.834748389,3,3,2.12E-04,9606,Homo sapiens,FGF9;FGF18;FGFR4;FGF1;FGF2,,R-HSA-5654151;R-HSA-5654163;R-HSA-5654169
R-HSA-168927,"TICAM1, RIP1-mediated IKK complex recruitment",5,19,0.001246719,0.485271702,0.834748389,3,3,2.12E-04,9606,Homo sapiens,UBC;UBE2N;UBE2V1;TSKU,,R-HSA-168930;R-HSA-9014343;R-HSA-9014342
R-HSA-171007,p38MAPK events,5,19,0.001246719,0.485271702,0.834748389,4,5,3.53E-04,9606,Homo sapiens,MAPK11;RALA;MAPKAPK2;MAPK12;MAPK13,,R-HSA-171026;R-HSA-171011;R-HSA-187688;R-HSA-170991
R-HSA-8864260,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,13,52,0.003412073,0.488671246,0.834748389,40,44,0.003109321,9606,Homo sapiens,TFAP2A;TFAP2C;CREBBP;CITED4;KCTD1;TGFA;DEK;PITX2;EGFR,,R-HSA-8869575;R-HSA-8864453;R-HSA-8864577;R-HSA-8865280;R-HSA-8869568;R-HSA-8864718;R-HSA-8869580;R-HSA-8864395;R-HSA-8864343;R-HSA-3234081;R-HSA-8864278;R-HSA-8869590;R-HSA-8864466;R-HSA-8864989;R-HSA-8864412;R-HSA-8865244;R-HSA-8864729;R-HSA-3234094;R-HSA-8864999;R-HSA-8869543;R-HSA-8869542;R-HSA-8874789;R-HSA-8864737;R-HSA-8864431;R-HSA-8874797;R-HSA-8869549;R-HSA-8864426;R-HSA-8864361;R-HSA-8865256;R-HSA-8864936;R-HSA-8869558;R-HSA-8864307;R-HSA-8864690;R-HSA-8865265;R-HSA-8864433;R-HSA-8869566;R-HSA-8864381;R-HSA-8864698;R-HSA-8864569;R-HSA-8869560
R-HSA-190373,FGFR1c ligand binding and activation,4,15,9.84E-04,0.490149549,0.834748389,3,3,2.12E-04,9606,Homo sapiens,FGF9;ANOS1;FGF1;FGF2,,R-HSA-190256;R-HSA-5654515;R-HSA-190429
R-HSA-1250342,PI3K events in ERBB4 signaling,4,15,9.84E-04,0.490149549,0.834748389,2,2,1.41E-04,9606,Homo sapiens,ERBB4;NRG4;HBEGF,,R-HSA-1250370;R-HSA-1250353
R-HSA-5339716,Signaling by GSK3beta mutants,4,15,9.84E-04,0.490149549,0.834748389,1,1,7.07E-05,9606,Homo sapiens,PPP2R5E;PPP2R5B;CTNNB1;PPP2R5C,,R-HSA-5339713
R-HSA-9694719,Maturation of protein 3a,4,15,9.84E-04,0.490149549,0.834748389,1,7,4.95E-04,9606,Homo sapiens,ST6GAL1;ST6GALNAC2;ST3GAL4;ST3GAL1,,R-HSA-9694718
R-HSA-9683673,Maturation of protein 3a,4,15,9.84E-04,0.490149549,0.834748389,1,7,4.95E-04,9606,Homo sapiens,ST6GAL1;ST6GALNAC2;ST3GAL4;ST3GAL1,,R-HSA-9683769
R-HSA-3769402,Deactivation of the beta-catenin transactivating complex,11,44,0.002887139,0.495798381,0.834748389,14,14,9.89E-04,9606,Homo sapiens,TCF7L1;TLE1;AKT2;UBC;AKT1;CTNNB1;SOX9;EMB;TCF3;YWHAZ;BCL9L,,R-HSA-3361751;R-HSA-3769393;R-HSA-3769392;R-HSA-3769394;R-HSA-3322431;R-HSA-5626938;R-HSA-3322429;R-HSA-3322434;R-HSA-5368580;R-HSA-3769391;R-HSA-3772430;R-HSA-3364042;R-HSA-5665608;R-HSA-3769383
R-HSA-3899300,SUMOylation of transcription cofactors,11,44,0.002887139,0.495798381,0.834748389,14,27,0.001907992,9606,Homo sapiens,GRIP1;NCOA2;PIAS3;DDX5;CREBBP;SYNGR2;UHRF2;SUMO3;SUMO2;SCMH1;PPARGC1A;HIPK2,,R-HSA-4085372;R-HSA-3108203;R-HSA-3900177;R-HSA-4086036;R-HSA-3927824;R-HSA-3927959;R-HSA-3296126;R-HSA-4090288;R-HSA-4090284;R-HSA-3903017;R-HSA-4086059;R-HSA-4085318;R-HSA-3900194;R-HSA-3108209
R-HSA-442729,CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,3,11,7.22E-04,0.496173006,0.834748389,10,10,7.07E-04,9606,Homo sapiens,CAMK4;CALM1;KPNA2,,R-HSA-9618834;R-HSA-9619127;R-HSA-9619125;R-HSA-111913;R-HSA-111912;R-HSA-111915;R-HSA-112282;R-HSA-442749;R-HSA-9618863;R-HSA-444792
R-HSA-164940,Nef mediated downregulation of MHC class I complex cell surface expression,3,11,7.22E-04,0.496173006,0.834748389,3,4,2.83E-04,9606,Homo sapiens,AP1S2;AP1B1;AP1M2,,R-HSA-182263;R-HSA-182279;R-HSA-182286
R-HSA-163680,AMPK inhibits chREBP transcriptional activation activity,3,11,7.22E-04,0.496173006,0.834748389,3,4,2.83E-04,9606,Homo sapiens,STK11;PRKAA2;PRKAG2,,R-HSA-163664;R-HSA-164151;R-HSA-163691
R-HSA-77588,SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs,3,11,7.22E-04,0.496173006,0.834748389,2,3,2.12E-04,9606,Homo sapiens,LSM10;ZNF473;SNRPF,,R-HSA-77585;R-HSA-77586
R-HSA-4755510,SUMOylation of immune response proteins,3,11,7.22E-04,0.496173006,0.834748389,2,5,3.53E-04,9606,Homo sapiens,NFKBIA;PIAS3;SUMO3;SUMO2,,R-HSA-4656914;R-HSA-4755536
R-HSA-8849469,PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1,3,11,7.22E-04,0.496173006,0.834748389,3,8,5.65E-04,9606,Homo sapiens,UBC;AKT1,,R-HSA-8848758;R-HSA-8848751;R-HSA-8848829
R-HSA-1462054,Alpha-defensins,3,11,7.22E-04,0.496173006,0.834748389,4,12,8.48E-04,9606,Homo sapiens,PRSS2;DEF6,,R-HSA-1461971;R-HSA-1461982;R-HSA-1462014;R-HSA-1461993
R-HSA-112040,G-protein mediated events,18,73,0.004790026,0.497662378,0.834748389,36,41,0.002897322,9606,Homo sapiens,PDE1C;PRKCD;ITPR2;ADCY3;PRKCA;PRKX;ADCY7;GNAI1;PLCB3;PRKAR2B;CAMK4;GNA11;CALM1;PLCB1;KPNA2;PRKACA;PRKACB,,R-HSA-9618834;R-HSA-111879;R-HSA-392206;R-HSA-169683;R-HSA-74448;R-HSA-169680;R-HSA-111955;R-HSA-111956;R-HSA-112282;R-HSA-111966;R-HSA-111970;R-HSA-442725;R-HSA-112037;R-HSA-9619127;R-HSA-8951727;R-HSA-9619125;R-HSA-170666;R-HSA-111913;R-HSA-111912;R-HSA-111915;R-HSA-170671;R-HSA-111919;R-HSA-170674;R-HSA-170672;R-HSA-111925;R-HSA-111924;R-HSA-170676;R-HSA-170677;R-HSA-111930;R-HSA-442749;R-HSA-170686;R-HSA-9617583;R-HSA-9618863;R-HSA-444792;R-HSA-111870;R-HSA-170685
R-HSA-163359,Glucagon signaling in metabolic regulation,10,40,0.002624672,0.499849205,0.834748389,4,6,4.24E-04,9606,Homo sapiens,PRKAR2B;GNB2;GNB4;ADCY3;P3H3;GNG12;PRKACA;ADCY7;PRKACB,,R-HSA-825631;R-HSA-163617;R-HSA-111925;R-HSA-164377
R-HSA-8866376,Reelin signalling pathway,2,7,4.59E-04,0.504211546,0.834748389,4,4,2.83E-04,9606,Homo sapiens,RELN;FYN,,R-HSA-8855237;R-HSA-8854466;R-HSA-8855232;R-HSA-8855259
R-HSA-74713,IRS activation,2,7,4.59E-04,0.504211546,0.834748389,3,3,2.12E-04,9606,Homo sapiens,IRS1;INSR,,R-HSA-74707;R-HSA-74711;R-HSA-74712
R-HSA-9014826,Interleukin-36 pathway,2,7,4.59E-04,0.504211546,0.834748389,3,3,2.12E-04,9606,Homo sapiens,IL1RL2;IL1R1;IL1RAP,,R-HSA-8848316;R-HSA-8848314;R-HSA-8940998
R-HSA-69478,G2/M DNA replication checkpoint,2,7,4.59E-04,0.504211546,0.834748389,2,2,1.41E-04,9606,Homo sapiens,WEE1,,R-HSA-170070;R-HSA-170055
R-HSA-68911,G2 Phase,2,7,4.59E-04,0.504211546,0.834748389,2,2,1.41E-04,9606,Homo sapiens,CCNA2;CCNA1;CCN1,,R-HSA-187937;R-HSA-187959
R-HSA-3656534,Loss of Function of TGFBR1 in Cancer,2,7,4.59E-04,0.504211546,0.834748389,2,2,1.41E-04,9606,Homo sapiens,TGFBR1;TGFBR2,,R-HSA-3656382;R-HSA-3656523
R-HSA-9673768,Signaling by membrane-tethered fusions of PDGFRA or PDGFRB,2,7,4.59E-04,0.504211546,0.834748389,2,2,1.41E-04,9606,Homo sapiens,KDR;ETV6,,R-HSA-9673761;R-HSA-9673760
R-HSA-3304356,SMAD2/3 Phosphorylation Motif Mutants in Cancer,2,7,4.59E-04,0.504211546,0.834748389,1,1,7.07E-05,9606,Homo sapiens,TGFBR1;TGFBR2,,R-HSA-3304394
R-HSA-1606341,IRF3 mediated activation of type 1 IFN,2,7,4.59E-04,0.504211546,0.834748389,4,6,4.24E-04,9606,Homo sapiens,IRF3;DTX4,,R-HSA-1606345;R-HSA-2032396;R-HSA-2395992;R-HSA-1606327
R-HSA-427652,Sodium-coupled phosphate cotransporters,2,7,4.59E-04,0.504211546,0.834748389,2,3,2.12E-04,9606,Homo sapiens,SLC34A2;SLC20A2,,R-HSA-427605;R-HSA-427656
R-HSA-111464,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,2,7,4.59E-04,0.504211546,0.834748389,2,3,2.12E-04,9606,Homo sapiens,APAF1;CASP3,,R-HSA-114419;R-HSA-114440
R-HSA-111463,SMAC (DIABLO) binds to IAPs ,2,7,4.59E-04,0.504211546,0.834748389,2,4,2.83E-04,9606,Homo sapiens,APAF1;CASP3,,R-HSA-114306;R-HSA-114361
R-HSA-168316,Assembly of Viral Components at the Budding Site,2,7,4.59E-04,0.504211546,0.834748389,8,17,0.001201329,9606,Homo sapiens,NA;CALR,,R-HSA-195730;R-HSA-169921;R-HSA-195734;R-HSA-168871;R-HSA-169847;R-HSA-168869;R-HSA-195726;R-HSA-169919
R-HSA-8849474,PTK6 Activates STAT3,2,7,4.59E-04,0.504211546,0.834748389,3,9,6.36E-04,9606,Homo sapiens,SOCS3,,R-HSA-8848150;R-HSA-8848178;R-HSA-8848110
R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,16,65,0.004265092,0.504228448,0.834748389,24,42,0.002967988,9606,Homo sapiens,GADD45A;PRMT1;PLK2;CCNA2;CLN3;CCNA1;RGCC;TFDP1;YWHAQ;CCNE1;CARM1;TNKS1BP1;SFN;CCN1;E2F8,,R-HSA-3215152;R-HSA-6791109;R-HSA-6801637;R-HSA-6791235;R-HSA-6803875;R-HSA-8953037;R-HSA-6801666;R-HSA-6803917;R-HSA-6798347;R-HSA-6801675;R-HSA-6798282;R-HSA-6803914;R-HSA-6801641;R-HSA-6803892;R-HSA-6803890;R-HSA-6803858;R-HSA-6798353;R-HSA-6803871;R-HSA-3215144;R-HSA-69562;R-HSA-6798044;R-HSA-6798268;R-HSA-187934;R-HSA-8953013
R-HSA-5619107,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),9,36,0.002362205,0.504327774,0.834748389,1,1,7.07E-05,9606,Homo sapiens,NDC1;POM121;NUP205;POM121C;NUP42;NUP85;NUP62;AAAS;NUP37,,R-HSA-5661474
R-HSA-9706574,RHOBTB GTPase Cycle,9,36,0.002362205,0.504327774,0.834748389,3,4,2.83E-04,9606,Homo sapiens,SPEN;CUL3;GPS1;ACTN1;STK38;PDE5A;MSI2;ACTB;RHOBTB1,,R-HSA-9018778;R-HSA-9018787;R-HSA-9018774
R-HSA-1227990,Signaling by ERBB2 in Cancer,9,36,0.002362205,0.504327774,0.834748389,40,62,0.004381316,9606,Homo sapiens,ERBB4;NRG4;SHC1;EGF;SOS1;EGFR;HBEGF,,R-HSA-9664976;R-HSA-9664983;R-HSA-9634391;R-HSA-9664918;R-HSA-9634390;R-HSA-9664991;R-HSA-9665411;R-HSA-9665410;R-HSA-9665409;R-HSA-9665408;R-HSA-9665415;R-HSA-9665413;R-HSA-9665034;R-HSA-9665417;R-HSA-9665416;R-HSA-9665032;R-HSA-9664588;R-HSA-9634418;R-HSA-9665009;R-HSA-9664567;R-HSA-9664950;R-HSA-9665407;R-HSA-9665406;R-HSA-9665404;R-HSA-9665699;R-HSA-9665698;R-HSA-9634402;R-HSA-9665697;R-HSA-9665701;R-HSA-9664933;R-HSA-9665700;R-HSA-9665707;R-HSA-9665706;R-HSA-9665705;R-HSA-9665000;R-HSA-9665704;R-HSA-9665709;R-HSA-9665389;R-HSA-9665388;R-HSA-9664940
R-HSA-195258,RHO GTPase Effectors,79,326,0.021391076,0.50561639,0.834748389,95,113,0.007985301,9606,Homo sapiens,FHOD3;ITGB1;NCF2;WIPF1;ARPC1B;WIPF2;ACTB;TUBA1B;YWHAQ;TUBB3;CDH1;PPP2R5E;RAC2;EMB;PRKACA;YWHAG;YWHAH;ACTR3;NCOA2;NUDC;PRKCB;PRKCD;PPP2R5B;PRKCA;KNL1;PPP2R5C;RHOC;YWHAZ;TUBB2B;TUBB2A;H2BC15;DAAM1;INCENP;H4C14;MYH9;PPP1R12B;MYL9;S100A9;CFTR;PFN2;SRF;IQGAP2;STK4;SKA2;DSN1;NUP85;RHPN1;FLNA;MYH14;DVL3;SFN;RHPN2;WASF1;BUB1;MYH10;VTI1B;PPP1R14A;H2AZ2;LIMK2;LIMK1;TUBB4A;FMNL3;MAPK11;DIAPH1;DIAPH2;FMNL2;DIAPH3;ARPC2;CENPI;DLC1;NOXA1;CTNNB1;NF2;CALM1;NUP37;TUBA8,,R-HSA-5665751;R-HSA-5665748;R-HSA-3858489;R-HSA-2029469;R-HSA-2029466;R-HSA-5668947;R-HSA-3858495;R-HSA-5623632;R-HSA-5671763;R-HSA-5666129;R-HSA-5666001;R-HSA-2029465;R-HSA-419087;R-HSA-75016;R-HSA-5671772;R-HSA-2029460;R-HSA-5667037;R-HSA-419083;R-HSA-5666008;R-HSA-2029456;R-HSA-5625797;R-HSA-5625796;R-HSA-5668932;R-HSA-9626880;R-HSA-5665989;R-HSA-5623622;R-HSA-5627072;R-HSA-5667008;R-HSA-5665998;R-HSA-2197691;R-HSA-2197690;R-HSA-3928608;R-HSA-5668978;R-HSA-5672304;R-HSA-5666160;R-HSA-419232;R-HSA-5623667;R-HSA-5666046;R-HSA-5668735;R-HSA-5627775;R-HSA-5668605;R-HSA-5625849;R-HSA-5665659;R-HSA-5625848;R-HSA-5668731;R-HSA-5669240;R-HSA-5666169;R-HSA-5626469;R-HSA-5665767;R-HSA-2130194;R-HSA-5665761;R-HSA-5668718;R-HSA-5671919;R-HSA-5667052;R-HSA-5668714;R-HSA-203070;R-HSA-2029473;R-HSA-5666070;R-HSA-9626832;R-HSA-5668629;R-HSA-5218827;R-HSA-5625745;R-HSA-5665809;R-HSA-8981443;R-HSA-5625883;R-HSA-9626816;R-HSA-9626817;R-HSA-5666178;R-HSA-5669250;R-HSA-442832;R-HSA-5218841;R-HSA-5666049;R-HSA-5625870;R-HSA-5665802;R-HSA-5627275;R-HSA-5626507;R-HSA-5672329;R-HSA-5626549;R-HSA-2197698;R-HSA-445797;R-HSA-442592;R-HSA-5665982;R-HSA-5665727;R-HSA-5627071;R-HSA-5625784;R-HSA-5666104;R-HSA-419049;R-HSA-5671993;R-HSA-5669158;R-HSA-9626848;R-HSA-5671970;R-HSA-5625901;R-HSA-419197;R-HSA-5625774;R-HSA-5666088
R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,22,90,0.005905512,0.507253728,0.834748389,16,19,0.001342661,9606,Homo sapiens,PSMD12;RPN2;PSMD14;CCNH;CABLES1;PSMB8;CCNA2;PSMB7;CLN3;CCNA1;WEE1;PSMC5;CDK7;TFDP1;PSMA1;CCNE1;CDH1;AKT2;UBC;PSMD3;AKT1;CCN1,,R-HSA-187552;R-HSA-187520;R-HSA-174273;R-HSA-174054;R-HSA-187948;R-HSA-187916;R-HSA-187949;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-198613;R-HSA-174164;R-HSA-8848414;R-HSA-188345;R-HSA-187934;R-HSA-174110
R-HSA-177929,Signaling by EGFR,15,61,0.004002625,0.507827895,0.834748389,46,49,0.003462653,9606,Homo sapiens,LIG1;SHC1;EGF;TGFA;EPS15L1;EGFR;EPN1;HGS;UBC;LRIG1;SPRY1;SOS1;ARHGEF7;AAMP;HBEGF,,R-HSA-177922;R-HSA-177923;R-HSA-177926;R-HSA-177927;R-HSA-177924;R-HSA-177925;R-HSA-182986;R-HSA-177930;R-HSA-183051;R-HSA-8951490;R-HSA-182990;R-HSA-177934;R-HSA-177935;R-HSA-183055;R-HSA-182988;R-HSA-177933;R-HSA-177938;R-HSA-183058;R-HSA-182994;R-HSA-177939;R-HSA-177936;R-HSA-177937;R-HSA-182993;R-HSA-177942;R-HSA-177943;R-HSA-177941;R-HSA-183002;R-HSA-177946;R-HSA-183067;R-HSA-177944;R-HSA-8864029;R-HSA-177945;R-HSA-8867047;R-HSA-212706;R-HSA-183072;R-HSA-8867044;R-HSA-212710;R-HSA-8867041;R-HSA-212713;R-HSA-183084;R-HSA-9674531;R-HSA-183089;R-HSA-183094;R-HSA-109813;R-HSA-182969;R-HSA-183036
R-HSA-1643713,Signaling by EGFR in Cancer,8,32,0.002099738,0.509349828,0.834748389,41,42,0.002967988,9606,Homo sapiens,SHC1;EGF;UBC;TGFA;SOS1;EGFR;HBEGF,,R-HSA-1218833;R-HSA-1225947;R-HSA-1225950;R-HSA-1226014;R-HSA-1225951;R-HSA-1226012;R-HSA-1225949;R-HSA-1220610;R-HSA-5637766;R-HSA-1220611;R-HSA-1248002;R-HSA-5637764;R-HSA-5637765;R-HSA-1220614;R-HSA-1220612;R-HSA-1220613;R-HSA-5637770;R-HSA-1169421;R-HSA-1248655;R-HSA-5637808;R-HSA-1225978;R-HSA-1247999;R-HSA-5638137;R-HSA-5637798;R-HSA-1247842;R-HSA-1247841;R-HSA-1226016;R-HSA-1225952;R-HSA-5637796;R-HSA-5637794;R-HSA-5637795;R-HSA-1225956;R-HSA-1248677;R-HSA-5637792;R-HSA-1225957;R-HSA-1247844;R-HSA-5637806;R-HSA-1225960;R-HSA-1225961;R-HSA-5637800;R-HSA-5637801
R-HSA-400042,"Adrenaline,noradrenaline inhibits insulin secretion",8,32,0.002099738,0.509349828,0.834748389,5,6,4.24E-04,9606,Homo sapiens,GNGT2;GNB2;GNB4;POC1B;CACNA1D;P3H3;GNG12;GNAI1,,R-HSA-400037;R-HSA-400097;R-HSA-400046;R-HSA-400063;R-HSA-400092
R-HSA-1236394,Signaling by ERBB4,20,82,0.005380577,0.513583159,0.834748389,52,52,0.003674652,9606,Homo sapiens,SPARC;SHC1;EGF;PSEN2;ADAP1;EGFR;APH1B;CXCL12;ERBB4;NRG4;UBC;SOS1;HBEGF,,R-HSA-1254291;R-HSA-1254290;R-HSA-9612440;R-HSA-1251992;R-HSA-1251997;R-HSA-9612444;R-HSA-9612445;R-HSA-9612672;R-HSA-1250315;R-HSA-1254285;R-HSA-1250353;R-HSA-9612593;R-HSA-1250357;R-HSA-1253300;R-HSA-9612219;R-HSA-1253282;R-HSA-9612448;R-HSA-1236398;R-HSA-1252013;R-HSA-1250348;R-HSA-1250220;R-HSA-8954185;R-HSA-9612243;R-HSA-9612246;R-HSA-8954179;R-HSA-1253343;R-HSA-9612255;R-HSA-9612639;R-HSA-1977296;R-HSA-8954182;R-HSA-1250370;R-HSA-1253319;R-HSA-8954207;R-HSA-1253321;R-HSA-1973956;R-HSA-1250383;R-HSA-1253325;R-HSA-8954199;R-HSA-1250380;R-HSA-1254386;R-HSA-9612278;R-HSA-9612277;R-HSA-8954208;R-HSA-1254392;R-HSA-9612671;R-HSA-9612257;R-HSA-1977958;R-HSA-1254251;R-HSA-8954224;R-HSA-1977959;R-HSA-1254248;R-HSA-1254376
R-HSA-350054,Notch-HLH transcription pathway,7,28,0.00183727,0.515084157,0.834748389,2,2,1.41E-04,9606,Homo sapiens,NOTCH3;CREBBP;KAT2A;NOTCH1;MAML2;TBL1X;HDAC9,,R-HSA-212356;R-HSA-350058
R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,26,107,0.007020997,0.515244702,0.834748389,11,11,7.77E-04,9606,Homo sapiens,ARF3;TMED10;KDELR1;RAB1B;STX18;NAPG;TUBA1B;TUBB3;BNIP1;KIF1C;SURF1;PPP1R14C;KIF23;TUBB4A;RINT1;TUBB2B;TUBB2A;KIF26A;KIFC1;KIF4A;KIF26B;KDELR2;KDELR3;KIF20A;TUBA8,,R-HSA-6811415;R-HSA-6811414;R-HSA-6811412;R-HSA-6811427;R-HSA-6811411;R-HSA-6811426;R-HSA-6811425;R-HSA-6811423;R-HSA-6811422;R-HSA-6811418;R-HSA-6811417
R-HSA-1839128,FGFR4 mutant receptor activation,1,3,1.97E-04,0.515709995,0.834748389,5,5,3.53E-04,9606,Homo sapiens,FGFR4,,R-HSA-2046363;R-HSA-2012086;R-HSA-2012087;R-HSA-2038946;R-HSA-2038944
R-HSA-168874,"Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus",1,3,1.97E-04,0.515709995,0.834748389,2,2,1.41E-04,9606,Homo sapiens,NA,,R-HSA-168871;R-HSA-168869
R-HSA-176034,Interactions of Tat with host cellular proteins,1,3,1.97E-04,0.515709995,0.834748389,2,2,1.41E-04,9606,Homo sapiens,CDK9,,R-HSA-167234;R-HSA-167235
R-HSA-2033515,t(4;14) translocations of FGFR3,1,3,1.97E-04,0.515709995,0.834748389,2,2,1.41E-04,9606,Homo sapiens,FGFR3,,R-HSA-2038387;R-HSA-2038386
R-HSA-8853334,Signaling by FGFR3 fusions in cancer,1,3,1.97E-04,0.515709995,0.834748389,2,2,1.41E-04,9606,Homo sapiens,FGFR3,,R-HSA-8853317;R-HSA-8853309
R-HSA-166020,Transfer of LPS from LBP carrier to CD14,1,3,1.97E-04,0.515709995,0.834748389,2,2,1.41E-04,9606,Homo sapiens,LBP,,R-HSA-166038;R-HSA-169719
R-HSA-5609976,Defective GALK1 causes GALCT2,1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,GALK1,,R-HSA-5610026
R-HSA-5687583,Defective SLC34A2 causes PALM,1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,SLC34A2,,R-HSA-5687585
R-HSA-3560792,Defective SLC26A2 causes chondrodysplasias,1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,SLC26A2,,R-HSA-3560789
R-HSA-3282872,Severe congenital neutropenia type 4 (G6PC3),1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,G6PC3,,R-HSA-3282876
R-HSA-5619111,Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1),1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,SLC20A2,,R-HSA-5625123
R-HSA-5339700,Signaling by TCF7L2 mutants,1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,CTBP2,,R-HSA-5334052
R-HSA-1299316,TWIK-releated acid-sensitive K+ channel (TASK),1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,KCNK3,,R-HSA-1299318
R-HSA-5619056,Defective HK1 causes hexokinase deficiency (HK deficiency),1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,HK1,,R-HSA-5621888
R-HSA-4755579,"Defective SRD5A3 causes SRD5A3-CDG, KHRZ",1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,SRD5A3,,R-HSA-4755572
R-HSA-5663020,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F),1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,SLC35A1,,R-HSA-5651942
R-HSA-5619045,Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM),1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,SLC34A2,,R-HSA-5651697
R-HSA-5619037,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F),1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,SLC35A1,,R-HSA-5651942
R-HSA-5579022,Defective GGT1 causes GLUTH,1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,GGT1,,R-HSA-9035966
R-HSA-5609977,Defective GALE causes EDG,1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,GALE,,R-HSA-5610036
R-HSA-975574,Reactions specific to the hybrid N-glycan synthesis pathway,1,3,1.97E-04,0.515709995,0.834748389,1,1,7.07E-05,9606,Homo sapiens,MGAT3,,R-HSA-975926
